fsc_adj,chl_adj,pe_adj
"-27742.166666666664",-21460.083333333332,-38788.666666666664
"-4601.166666666664",9600.916666666668,-36916.666666666664
"-5262.166666666664",5541.916666666668,-40932.666666666664
"-28073.166666666664",-19087.083333333332,-42025.666666666664
"-29587.166666666664",-21023.083333333332,-38809.666666666664
"-1769.1666666666642",8107.916666666668,-40569.666666666664
"-3998.1666666666642",12224.916666666668,-40633.666666666664
"-25689.166666666664",-19204.083333333332,-40196.666666666664
"-25251.166666666664",-16271.083333333332,-41390.666666666664
"-34345.166666666664",-23012.083333333332,-39332.666666666664
"-29603.166666666664",-17551.083333333332,-40452.666666666664
"-28883.166666666664",-14836.083333333332,-41593.666666666664
"-35571.166666666664",-21972.083333333332,-40756.666666666664
"-13459.166666666664",-16559.083333333332,-37977.666666666664
"-32798.166666666664",-20362.083333333332,-41614.666666666664
"-34078.166666666664",-22522.083333333332,-40585.666666666664
"-33417.166666666664",-18730.083333333332,-41662.666666666664
"-30019.166666666664",-20175.083333333332,-41193.666666666664
"-31577.166666666664",-14666.083333333332,-41438.666666666664
"-38990.166666666664",-14794.083333333332,-42308.666666666664
"-35385.166666666664",-19322.083333333332,-39940.666666666664
"-32681.166666666664",-13119.083333333332,-39982.666666666664
"-42558.166666666664",-24063.083333333332,-38286.666666666664
"-25369.166666666664",-15647.083333333332,-40564.666666666664
"-34899.166666666664",-18143.083333333332,-39870.666666666664
"-36601.166666666664",-19167.083333333332,-41017.666666666664
"-21769.166666666664",-15162.083333333332,-39369.666666666664
"-25827.166666666664",-17903.083333333332,-40260.666666666664
"-32542.166666666664",-14804.083333333332,-41609.666666666664
"-25113.166666666664",-21119.083333333332,-39428.666666666664
"-35129.166666666664",-17220.083333333332,-39438.666666666664
"-37502.166666666664",-17428.083333333332,-42009.666666666664
"-33102.166666666664",-22271.083333333332,-44217.666666666664
"-9459.166666666664",-2266.083333333332,-39492.666666666664
"-33113.166666666664",-21348.083333333332,-40057.666666666664
"-38531.166666666664",-19050.083333333332,-41188.666666666664
"-29918.166666666664",-17007.083333333332,-40649.666666666664
"-24201.166666666664",-20986.083333333332,-40622.666666666664
"-4067.1666666666642",15163.916666666668,-38366.666666666664
"-35865.166666666664",-19327.083333333332,-41508.666666666664
"-36878.166666666664",-16596.083333333332,-41182.666666666664
"-8958.166666666664",4960.916666666668,-40852.666666666664
"-36329.166666666664",-17914.083333333332,-39044.666666666664
"-20841.166666666664",-18815.083333333332,-41614.666666666664
"-29321.166666666664",-24260.083333333332,-39892.666666666664
"-24313.166666666664",-14756.083333333332,-40681.666666666664
"-31027.166666666664",-20628.083333333332,-38430.666666666664
"-30067.166666666664",-16116.083333333332,-41454.666666666664
"-35246.166666666664",-18783.083333333332,-40334.666666666664
"-37577.166666666664",-17348.083333333332,-40281.666666666664
"-31406.166666666664",-14735.083333333332,-42862.666666666664
"-33214.166666666664",-20116.083333333332,-37220.666666666664
"-34675.166666666664",-22004.083333333332,-39337.666666666664
"-33401.166666666664",-21775.083333333332,-35524.666666666664
"-39769.166666666664",-23284.083333333332,-42302.666666666664
"-37779.166666666664",-20826.083333333332,-38020.666666666664
"-35427.166666666664",-20815.083333333332,-39630.666666666664
"-32195.166666666664",-22351.083333333332,-41486.666666666664
3580.8333333333358,-4724.083333333332,-31134.666666666664
"-5859.166666666664",6309.916666666668,-42974.666666666664
"-27710.166666666664",-19722.083333333332,-39796.666666666664
"-30622.166666666664",-13076.083333333332,-40601.666666666664
"-20835.166666666664",-16015.083333333332,-39870.666666666664
"-37934.166666666664",-20271.083333333332,-41054.666666666664
"-27998.166666666664",-23759.083333333332,-39412.666666666664
"-34419.166666666664",-14879.083333333332,-40174.666666666664
"-28606.166666666664",-20223.083333333332,-39710.666666666664
"-29027.166666666664",-22047.083333333332,-39700.666666666664
"-33811.166666666664",-16308.083333333332,-40558.666666666664
"-20467.166666666664",-19892.083333333332,-40617.666666666664
"-34243.166666666664",-18938.083333333332,-41630.666666666664
"-36153.166666666664",-17882.083333333332,-41609.666666666664
"-4163.166666666664",10592.916666666668,-40350.666666666664
